src_id,dst_id,weight
246,180,0.0513
246,106,0.1538
246,87,0.0513
246,114,0.1026
246,425,0.0513
246,61,0.0513
246,30,0.0513
246,47,0.0513
151,56,0.0513
151,193,0.0513
151,247,0.0513
151,24,0.1026
151,499,0.1026
151,55,0.1026
151,103,0.1026
151,21,0.1538
151,4,0.0513
151,377,0.0513
151,433,0.0769
151,39,0.1026
151,316,0.1026
151,205,0.0513
151,76,0.0513
151,18,0.1538
151,435,0.0769
151,22,0.0513
151,5,0.1026
151,19,0.0513
151,487,0.1538
151,72,0.0256
151,17,0.0513
151,77,0.3077
151,91,0.1026
151,384,0.1026
151,373,0.1026
151,132,0.1282
151,333,0.1026
151,3,0.0513
151,271,0.0513
151,436,0.0513
151,158,0.1026
151,126,0.2051
151,441,0.0513
151,2,0.1026
151,10,0.0513
151,110,0.1026
151,399,0.0513
151,117,0.0513
151,27,0.0256
307,154,0.1795
307,104,0.2564
307,290,0.0513
307,165,0.1026
307,340,0.1026
307,18,0.1026
307,19,0.0513
307,41,0.1026
307,119,0.2308
307,494,0.1026
307,181,0.1538
307,11,0.1538
307,65,0.2564
253,289,0.0256
253,353,0.0513
253,174,0.0513
253,71,0.1538
253,354,0.0513
253,220,0.1026
489,9,0.0256
489,28,0.1538
489,4,0.0513
489,128,0.0513
489,196,0.0513
489,34,0.0513
489,5,0.0513
489,381,0.0513
489,20,0.1538
489,378,0.0769
489,99,0.0513
489,234,0.0513
489,112,0.0513
489,29,0.1538
489,123,0.0513
489,16,0.0513
489,66,0.1026
489,232,0.0256
489,203,0.0513
64,9,0.1538
64,56,0.1026
64,12,0.1538
64,417,0.1026
64,238,0.0513
64,208,0.0513
64,124,0.1026
64,254,0.1026
64,326,0.0513
64,185,0.0513
64,243,0.0513
64,311,0.0513
64,166,0.1026
64,28,0.2308
64,178,0.0513
64,171,0.0513
64,268,0.0513
64,4,0.1538
64,122,0.1538
64,313,0.0513
64,128,0.1026
64,54,0.2051
64,196,0.0513
64,453,0.1538
64,25,0.1026
64,434,0.0513
64,62,0.1026
64,34,0.1026
64,134,0.1026
64,240,0.1026
64,175,0.1538
64,156,0.0256
64,22,0.1538
64,5,0.0513
64,169,0.1538
64,296,0.1026
64,89,0.1026
64,222,0.1026
64,90,0.2051
64,92,0.1026
64,328,0.0513
64,161,0.0769
64,17,0.0513
64,281,0.0513
64,213,0.1026
64,257,0.1026
64,20,0.3077
64,3,0.1026
64,378,0.0256
64,57,0.1282
64,99,0.1026
64,278,0.1026
64,153,0.1538
64,234,0.0513
64,112,0.1026
64,23,0.1026
64,29,0.2564
64,123,0.0513
64,16,0.2564
64,74,0.0513
64,202,0.1538
64,392,0.0513
64,180,0.1026
64,323,0.0513
64,456,0.0513
64,430,0.1026
64,66,0.1538
64,84,0.1026
64,36,0.2308
64,85,0.0513
64,442,0.0513
64,402,0.1026
64,421,0.1538
64,480,0.1026
64,248,0.0513
64,443,0.0513
64,87,0.1026
64,114,0.1026
64,297,0.0513
64,69,0.1026
64,203,0.0513
64,445,0.1538
64,212,0.1026
64,356,0.0513
64,403,0.1026
64,395,0.0513
64,61,0.1026
64,30,0.1026
64,192,0.0513
64,207,0.0513
64,131,0.0513
64,446,0.0513
64,81,0.0513
64,47,0.0513
455,208,0.0513
455,326,0.0513
455,185,0.0513
455,268,0.0513
455,313,0.0513
455,196,0.0513
455,434,0.0513
455,62,0.0513
455,240,0.0513
455,22,0.0513
455,317,0.0513
455,328,0.0513
455,269,0.0513
455,153,0.0513
455,23,0.0513
455,74,0.0513
455,392,0.0513
455,456,0.0513
455,142,0.0513
455,223,0.0513
455,87,0.0513
455,403,0.0513
455,357,0.0513
455,395,0.0513
382,9,0.0256
382,56,0.0513
382,243,0.0513
382,178,0.0513
382,4,0.0513
382,89,0.0513
382,20,0.0513
382,378,0.1026
382,234,0.0513
382,112,0.2051
382,123,0.1538
382,120,0.1538
382,180,0.1538
382,302,0.0256
382,66,0.1026
382,84,0.0513
382,425,0.0513
382,212,0.1538
154,24,0.1026
154,104,0.3846
154,21,0.0513
154,407,0.1026
154,290,0.1282
154,19,0.1282
154,137,0.1026
154,13,0.0513
154,41,0.0513
154,6,0.1282
154,119,0.3846
154,366,0.1795
154,33,0.1538
154,494,0.1538
154,181,0.1282
154,388,0.2051
154,10,0.1026
154,220,0.1026
154,45,0.1282
154,11,0.1538
154,65,0.5385
154,498,0.1026
154,450,0.1026
154,96,0.0513
242,9,0.0513
242,50,0.1026
242,24,0.0513
242,39,0.0513
242,25,0.0513
242,294,0.1538
242,5,0.0513
242,342,0.1026
242,256,0.0513
242,19,0.0513
242,13,0.1026
242,266,0.0513
242,17,0.1026
242,162,0.1026
242,41,0.0513
242,493,0.0513
242,82,0.1026
242,3,0.1026
242,183,0.0513
242,2,0.1026
242,85,0.0513
242,106,0.0513
242,148,0.0513
242,172,0.0513
242,69,0.0513
242,216,0.1026
242,427,0.0513
242,303,0.2564
242,101,0.1026
242,192,0.0513
466,0,0.2308
466,60,0.0513
466,107,0.1026
466,211,0.0513
466,31,0.1026
466,70,0.1026
466,58,0.0513
466,44,0.0769
466,79,0.0769
466,72,0.0513
466,46,0.0513
466,51,0.0769
466,116,0.1026
466,59,0.0513
466,1,0.0513
466,32,0.1026
466,111,0.1026
97,184,0.0513
97,9,0.1538
97,56,0.1026
97,12,0.1026
97,417,0.1026
97,238,0.1026
97,208,0.0513
97,124,0.2051
97,254,0.1026
97,326,0.1026
97,185,0.0513
97,311,0.0513
97,166,0.1538
97,28,0.2051
97,178,0.0513
97,268,0.0513
97,122,0.0513
97,54,0.1538
97,196,0.0513
97,453,0.1538
97,25,0.2051
97,62,0.1026
97,34,0.0513
97,134,0.1538
97,240,0.1026
97,175,0.2051
